Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
08/05/2005,Madison Area Technical College,Madison,Wisconsin,PHYS,EDU,100,"A news crew found around 100 applications in a MATC dumpster.  The applications showed names, contact information, Social Security numbers, birth dates, academic records and canceled checks.  The applications and transcripts go back to at least 2002.  The College agreed to lock the dumpster and destroy documents in a trash compactor on a more frequent basis.  It did not state that it would begin shredding documents before dumping them.",Dataloss DB,,2005,43.073052,-89.40123
08/09/2005,Federal Reserve Bank of Dallas,Dallas,Texas,PHYS,GOV,0,"A truck driver lost thousands of Federal Reserve Bank checks headed to Houston.  It seems that the back door of the truck was not closed when the driver left the loading area.  Paid and canceled checks with Social Security numbers, names, addresses and signatures were scattered on the highway between Dallas and Houston. Most of the checks were not recovered.",Dataloss DB,,2005,32.802955,-96.769923
9-22-2005,Internal Revenue Service (IRS),San Francisco,California,PHYS,GOV,"30,000","A truck carrying checks with tax information for the self-employed was involved in an accident on the San Mateo Bridge.  Wind blew about 30,000 pieces of mail into the bay and beyond.  The IRS agreed to waive penalties and interest for anyone whose payment was affected.",Dataloss DB,,2005,37.77493,-122.419416
10/08/2005,Blockbuster,New York,New York,PHYS,BSR,0,"Hundreds of files were dumped in clear garbage bags on the street.  Recent membership applications revealed customer names, birth dates, addresses, phone numbers, driver's license numbers, credit card number, credit card expiration date and signatures.  For some strange reason, the applications also included customer Social Security numbers.  The files were dumped after the store went out of business.",Dataloss DB,,2005,40.714353,-74.005973
12/08/2005,Federal Reserve Bank of Dallas,Dallas,Texas,PHYS,GOV,"8,000","A courier truck dropped canceled personal and business checks on northbound Central Expressway near Woodall Rodgers Freeway around 4 a.m.  The incident closed the freeway exit until 7 a.m.  Employees from the Federal Reserve, the courier company and the Texas Department of Transportation removed many checks, though some disappeared.  Some unaffiliated people also returned checks to the authorities.  A very similar incident happened in August of 2005.",Dataloss DB,,2005,32.802955,-96.769923
12/09/2005,Oregon Community Credit Union,Springfield,Oregon,PHYS,BSF,200,"A packet of insurance forms with names, Social Security numbers and addresses of around 200 Oregon Community Credit Union employees was inside of a stolen car. Someone tried to use the identity of an employee after the theft.  The company is on alert and purchased extended identity theft insurance for those who were affected by the theft.",Dataloss DB,,2005,44.046236,-123.022029
12-21-2005,Sunrise Volkswagen,Lynbrook,New York,PHYS,BSR,0,"Bank credit applications with names, Social Security numbers, addresses, telephone numbers, employment information and signatures were obtained by unauthorized access between December 15 and 16.  ",Dataloss DB,,2005,40.654825,-73.671797
1-21-2006,California Army National Guard,Sacramento,California,PHYS,GOV,200,"A briefcase with personal 
            information of National Guardsmen including a seniority roster, 
            Social Security numbers and dates of birth was stolen from the car of an employee.  A memo was sent to National Guard soldiers.",Dataloss DB,,2006,38.581572,-121.4944
2-20-2006,Alltel Corporation,Little Rock,Arkansas,PHYS,BSR,0,"Customer files with cell phone records, Social Security numbers, addresses and phone numbers were found in a dumpster.  A landscaper discovered the files and alerted a news crew. A spokesperson for the company said that this is against their official electronic policy.",Dataloss DB,,2006,34.746481,-92.289595
03/02/2006,Los Angeles County Department of Social Services,Los Angeles,California,PHYS,GOV,"20,00,000","File boxes containing names,              dependents, Social Security numbers, telephone numbers, medical information,              employer, W-2, and date of birth were left unattended for at least one month.  This affects employees and clients.",Dataloss DB,,2006,34.052234,-118.243685
03/11/2006,California Department of Consumer Affairs (DCA),Sacramento,California,PHYS,GOV,0,"Mailed applications 
            of DCA licensees or prospective licensees for CA state boards and 
            commissions were stolen. The forms include full or partial Social 
            Security numbers, driver's license numbers, and potentially payment 
            checks.",Dataloss DB,,2006,38.581572,-121.4944
06/07/2006,Colorado Mental Health Institute Fort Logan,Denver,Colorado,PHYS,GOV,69,"A briefcase with paper files was taken from an employee's car while it was at a park on April 21.  The briefcase contained paper files with the information of 40 employees and 247 patients.  Only 29 employees and 40 patients had their Social Security numbers exposed.  Other information included names, addresses, gender and birth dates.  Those affected were notified in early June.",Dataloss DB,,2006,39.739154,-104.984703
06/08/2006,University of Michigan Credit Union,Ann Arbor,Michigan,PHYS,BSF,"5,000","Paper documents containing 
            personal information of credit union members were stolen from a storage 
            room. The documents were supposed to have been digitally imaged and 
            then shredded. Instead, they were stolen and used to perpetrate identity 
            theft.",Dataloss DB,,2006,42.270872,-83.726329
06/11/2006,Denver Election Commission,Denver,Colorado,PHYS,GOV,"1,50,000","Records containing personal 
            information on more than 150,000 voters are missing at city election 
            offices. The microfilmed voter registration files from 1989 to 1998 
            were in a 500-pound cabinet that disappeared when the commission moved 
            to new offices in February. The files contain voters' Social Security 
            numbers, addresses and other personal information.",Dataloss DB,,2006,39.739154,-104.984703
6-16-2006,California Department of Health Services (CDHS),Sacramento,California,PHYS,GOV,"1,550","CDHS documents were 
              inappropriately emptied from an employee's cubicle on June 5 and 
              9 rather than shredded. 
              The documents contained state employees and other individuals applying 
              for employment with the state including names, addresses, Social 
              Security numbers and home and work telephone numbers. They were 
              mostly expired state employment certification lists, but also included 
              requests for personnel action, copies of e-mail messages and handwritten 
              notes.",Dataloss DB,,2006,38.581572,-121.4944
6-17-2006,California Department of Health Services (CDHS),Sacramento,California,PHYS,GOV,"1,550","On June 12, a box of 
              Medi-Cal forms from December 2005 were found in the cubicle of a 
              California Dept. of Health Services employee. The claim forms contained the names, addresses, Social 
              Security numbers and prescriptions for beneficiaries or their family 
              members.",Dataloss DB,,2006,38.581572,-121.4944
6-27-2006,Empire Beauty School Inc.,Brooklyn,New York,PHYS,EDU,"1,132","The June 20 theft of a briefcase from an administrative employee's vehicle caused reports with the names and Social Security numbers of former students to be lost. A laptop was also stolen during the burglary, but it is unlikely that it had personal information.",Dataloss DB,,2006,40.65,-73.95
7-24-2006,Heritage Centers,Buffalo,New York,PHYS,MED,31,"An employee's briefcase was stolen from her car on June 18.  The briefcase contained a list of the names, addresses, Social Security numbers, phone numbers, dates of birth and genders of 31 individuals.",Dataloss DB,,2006,42.886447,-78.878369
08/01/2006,US Bank,Covington,Kentucky,PHYS,BSF,0,"A bank employee's briefcase 
            was stolen from the employee's car with documents containing names, 
            phone numbers, and SSNs of customers.",Dataloss DB,,2006,39.083671,-84.508554
08/04/2006,PSA HealthCare,Norcross,Georgia,PHYS,MED,"51,000","A company laptop was stolen 
            from an employee's vehicle in a public parking lot July 15. It contained 
            names, addresses, SSNs, and medical diagnostic and treatment information 
            used in reimbursement claims.",Dataloss DB,,2006,33.941213,-84.213531
08/08/2006,Linens 'n Things,Sterling,Virginia,PHYS,BSR,90,"A folder holding about 90 
            receipts was missing from the store. Receipts included full credit 
            or debit account number and name of the card holder.",Dataloss DB,,2006,39.00622,-77.428599
08/08/2006,Chautauqua County Department of Social Services,Jamestown,New York,PHYS,GOV,12,Paperwork being used in Medicaid fraud investigations was stolen from an employee's car.  The theft occurred sometime between July 31 and August 1.  People who were being investigated may have had their private information exposed.,Dataloss DB,,2006,42.097002,-79.235326
08/10/2006,Weyerhaeuser Company,Washington,District Of Columbia,PHYS,BSR,"1,597",A book containing payroll data was stolen.,Dataloss DB,,2006,38.895112,-77.036366
8-22-2006,Beaverton School District,Beaverton,Oregon,PHYS,EDU,"1,600","Time slips revealing personal 
            information were missing and presumed stolen following a July 24 break-in 
            at a storage shed on the administration office's property. The time 
            slips included names and SSNs but not addresses.",Dataloss DB,,2006,45.487062,-122.80371
09/11/2006,Telesource via Veksta,Indianapolis,Indiana,PHYS,BSO,0,"Employees discovered their 
            personnel files in a Dumpster after the company had been bought out 
            by another company Vekstar. The files were discarded when the office 
            was being cleaned out and shut down. Files contained SSNs, dates of 
            birth and photocopies of SSN cards and driver's licenses.",Dataloss DB,,2006,39.767016,-86.156255
9-14-2006,Illinois Department of Corrections (IDOC),Springfield,Illinois,PHYS,GOV,"16,500","A document containing employees' 
            personal information was found outside the agency's premises where 
            it should not have been. It has since been retrieved. Information 
            included employees' names, SSNs, and salaries.",Dataloss DB,,2006,39.801717,-89.643711
9-15-2006,Whistle Junction restaurant,Orlando,Florida,PHYS,BSO,0,"Personnel files of employees 
            of the now-closed restaurant were found in a nearby Dumpster. Papers 
            included names and SSNs of former employees,",Dataloss DB,,2006,28.538336,-81.379237
9-20-2006,Berry College via consultant Financial Aid Services Inc.,Mount Berry,Georgia,PHYS,EDU,"2,093","Student applications for 
            need-based financial aid were misplaced by a consultant -- in both 
            paper and digital form. Data included name, SSN, and reported family 
            income for students and potential students for the 2005-06 academic 
            year.",Dataloss DB,,2006,34.275093,-85.183284
9-21-2006,Pima County Health Department,Tucson,Arizona,PHYS,GOV,"2,500","Vaccination records on 2,500 
            clients had been left in the trunk of a car that was stolen Sept. 
            12. The car and records have since been recovered. Records included 
            names, dates of birth and ZIP codes, but no SSNs or addresses.",Dataloss DB,,2006,32.221743,-110.926479
9-22-2006,Several Indianapolis pharmacies,Indianapolis,Indiana,PHYS,MED,0,"Earlier this year a local 
            TV reporter from WTHR found that dozens of pharmacies 
            disposed of customer records in unsecured garbage bins. Now the Indiana 
            Board of Pharmacy has launched an investigation of 30 pharmacies. 
            Both the Board and the Attorney General say that the pharmacies violated 
            state law.",Media,,2006,39.767016,-86.156255
9-25-2006,Movie Gallery US,Gastonia,North Carolina,PHYS,BSR,"3,800","A large number of Movie 
              Gallery's files and videos were found in a dumpster. The files contained 
              personal information of people employed by Movie Gallery and people 
              applying for jobs at the video store as well as people applying 
              for movie rental membership. Movie Gallery has agreed 
              to pay $50,000 to the State of NC for the breach.",Dataloss DB,,2006,35.262082,-81.187301
9-28-2006,Illinois Department of Transportation (IDOT),Springfield,Illinois,PHYS,GOV,40,"Documents found by state 
              auditors in recycling bins in a hallway contained IDOT employee 
              names and SSNs.",Media,,2006,39.801717,-89.643711
10-13-2006,Ohio Ethics Commission,Columbus,Ohio,PHYS,GOV,0,"Papers belonging to the 
            Ohio Ethics Commission were found floating on the wind in an alley. 
            The documents are related to state employees' finances and contained 
            SSNs and financial statements. They were supposed to be in the possession 
            of the state archives.",Dataloss DB,,2006,39.961176,-82.998794
10-16-2006,"Dr, Charles Kay of Orchard Family Practice",Englewood,Colorado,PHYS,MED,100,"Sheriff's deputies evicting 
            Dr. Charles Kay put files from his office in a nearby parking lot. 
            In a news report, Dr. Kay said he had removed the patient files but 
            not the business files.",Media,,2006,39.647765,-104.98776
10-17-2006,"City of Visalia, Recreation Division",Visalia,California,PHYS,GOV,200,"Personally identifiable 
            information of approximately 200 current and former Visalia Recreation 
            Department employees was exposed when copies of city documents were 
            found scattered on a city street.",Dataloss DB,,2006,36.330228,-119.292059
10-24-2006,Bethpage Federal Credit Union,Bethpage,New York,PHYS,BSF,106,"A courier's envelope was delivered to the Credit Union ripped and missing the twenty reports it was supposed to contain.  Some of the reports contained confidential information such as name, address, telephone number, credit card number, and financial institution checking account number.",Dataloss DB,,2006,40.744266,-73.482069
10-26-2006,Empire Equity Group,Charlotte,North Carolina,PHYS,BSF,0,"Mortgage files that included 
            personal financial details about loan applicants were found in a dumpster. 
            Empire Equity will pay 
            $12,500 to the State of NC.",Dataloss DB,,2006,35.227087,-80.843127
11/10/2006,NYS Higher Education Services,Albany,New York,PHYS,EDU,49,"Paper documents were lost when the package containing them was damaged by a carrier's mechanical equipment.  The documents may have been thrown away by the carrier.  The information on the documents included name, Social Security number and address. At least 49 New York residents were affected, but the total number of people affected nationwide was not disclosed.",Dataloss DB,,2006,42.652579,-73.756232
11-20-2006,Administration for Children's Services,New York,New York,PHYS,GOV,200,"More than 200 case files 
              from the Emergency Children's Services Unit of ACS were found on 
              the street in a plastic garbage bag. The files contain sensitive 
              information of families, social workers and police officers.",Dataloss DB,,2006,40.714269,-74.005973
1-22-2005,University of Northern Colorado,Greeley,Colorado,PORT,EDU,"15,790","A hard drive was lost or stolen. It contained information on current and former University 
            employees and their beneficiaries and dates back to April of 1997.  Names, dates of birth, SSNs, addresses, 
            bank account numbers and routing numbers may have been accessed.",Dataloss DB,,2005,40.423314,-104.709132
2-25-2005,Bank of America Corp.,Charlotte,North Carolina,PORT,BSF,"12,00,000","Computer tapes with credit card information, Social Security numbers, addresses and account numbers were lost.  Bank of America began monitoring the customer accounts on the lost tapes and said it would contact cardholders if unusual activity was detected.  Around 900,000 of the account holders affected were Defense Department employees.",Dataloss DB,,2005,35.227087,-80.843127
03/11/2005,"University of California, Berkeley",Berkeley,California,PORT,EDU,"98,400","A laptop containing the Social Security numbers of doctoral degree recipients from 1976 to 1999, graduate students enrolled between 1989 and 2003, and graduate school applicants between fall 2001 and spring of 2004 was stolen.  Birth dates and addresses for about one-third of the affected people were also on the laptop.",Dataloss DB,,2005,37.871593,-122.272747
04/05/2005,MCI,Colorado Springs,Colorado,PORT,BSO,"16,500","A laptop containing names and Social Security numbers of current and
former employees was stolen from the car trunk of an MCI financial
analyst.  An MCI spokesperson stated that MCI would continue its policy
of allowing laptops to be taken home by employees and will evaluate new
security technologies.",Dataloss DB,,2005,38.833882,-104.821363
4-15-2005,California Department of Health Services,Sacramento,California,PORT,GOV,"21,600","A laptop containing the names, Social Security numbers, and medical information of Medi-Cal beneficiaries was stolen from the car trunk of an employee.  The Department of Health Services began notifying beneficiaries in late May.",Dataloss DB,,2005,38.581572,-121.4944
4-20-2005,TD Ameritrade,Omaha,Nebraska,PORT,BSF,"2,00,000","A backup tape was lost, stolen, or accidentally destroyed while being shipped.  The tape contained account information from clients or former clients between the years of 2001 and 2003.  Ameritrade notified the affected clients and offered one free year of credit protection services.",Dataloss DB,,2005,41.254006,-95.999258
4-29-2005,Oklahoma State University,Stillwater,Oklahoma,PORT,EDU,"37,000",A laptop used for student job placement seminars was lost or stolen.  It contained the Social Security numbers of current and former students.,Dataloss DB,,2005,36.115607,-97.058368
05/02/2005,"Time Warner, Iron Mountain Inc.",New York,New York,PORT,BSO,"6,00,000",Backup tapes containing the personal information of current and former employees from as far back as 1986 was lost or stolen during shipping. An 800 number was set up to answer questions and provide free credit monitoring for one year.UPDATE (5/3/2005): A contractor named Iron Mountain Inc. lost the tapes during shipping. ,Dataloss DB,,2005,40.714353,-74.005973
05/04/2005,Colorado Health Department,Denver,Colorado,PORT,GOV,"1,600","A laptop containing Social Security numbers, medical records, family medical history, and addresses was stolen from an employee's car.  The State Health Department is not monitoring the affected group and has only contacted some of the families involved.",Dataloss DB,,2005,39.739154,-104.984703
05/07/2005,Department of Justice,Washington,District Of Columbia,PORT,GOV,"80,000",A laptop containing password protected names and travel account credit card information was stolen sometime between May 7 and May 9.,Dataloss DB,,2005,38.895112,-77.036366
5-27-2005,Cleveland State University,Cleveland,Ohio,PORT,EDU,"44,420","A laptop containing personal information from applicants, current students, and former students was stolen from the University's admissions office.  The information included Social Security numbers and addresses from as far back as 2001.  Letters were sent to those affected.   UPDATE 
            (12/24/05):CSU 
            found the stolen laptop",Dataloss DB,,2005,41.499495,-81.695409
06/06/2005,"Citigroup, UPS",New York,New York,PORT,BSF,"39,00,000",Customers are being notified that backup tapes containing their account information were lost or stolen while being shipped by UPS.,Dataloss DB,,2005,40.714269,-74.005973
6-17-2005,Kent State University,Kent,Ohio,PORT,EDU,"1,400","A laptop containing the names, Social Security numbers, and in some cases birthdays of current and former University employees was stolen from a human resources administrator's car.  ",Dataloss DB,,2005,41.153667,-81.357886
6-22-2005,Eastman Kodak,Rochester,New York,PORT,BSO,"5,800","A password-protected laptop containing former employee names, Social Security numbers, birth dates, and benefits information was stolen from a consultant's car trunk. The consulting company has been identified as Hewitt Associates. Kodak sent letters and offered one-year of credit monitoring services and identity theft insurance covering up to $50,000 in fraud.",Dataloss DB,,2005,43.154785,-77.615557
6-27-2005,U.S. Department of Veterans Affairs,Minneapolis,Minnesota,PORT,GOV,66,"A laptop being stored in 
            the trunk of a car was stolen in Minneapolis, Minnesota. Two people 
            later reported identity fraud problems.",Dataloss DB,,2005,44.979965,-93.263836
6-29-2005,Bank of America,Charlotte,North Carolina,PORT,BSF,"18,000","A laptop containing the names, Social Security numbers, and addresses of customers was stolen from a consultant's car.",Dataloss DB,,2005,35.227087,-80.843127
6-30-2005,"Ohio State University Medical Center, MTE Consulting",Columbus,Ohio,PORT,MED,"15,000",A laptop containing patient information was stolen from a financial consultant.  MTE Consulting notified OSU medical center a month after the laptop was stolen and OSU sent a brief letter to the affected clients.,Dataloss DB,,2005,39.961176,-82.998794
07/06/2005,"City National Bank, Iron Mountain",Los Angeles,California,PORT,BSF,0,"Two tapes containing Social Security numbers, account numbers, and other customer information were lost or stolen during transportation.  The tapes have been missing since April.  City National Bank notified its customers.",Dataloss DB,,2005,34.052234,-118.243685
7-13-2005,Arizona Biodyne,Phoenix,Arizona,PORT,MED,"57,000","A safe with computer backup tapes containing financial, personal and medical records was stolen from Arizona Biodyne.  Policyholders' addresses, phone numbers, dates of birth and Social Security numbers were among the personal information lost.  Partial treatment histories and doctor information for some patients was also lost.  ",Dataloss DB,,2005,33.448377,-112.074037
8-27-2005," University of Florida, Health Sciences Center, ChartOne",Gainesville,Florida,PORT,EDU,"3,851","A contractor's laptop containing patient names, Social Security numbers, dates of birth, and medical record numbers was stolen.  A letter was sent to the affected patients.",Dataloss DB,,2005,29.651634,-82.324826
8-29-2005,Iowa Student Loan,Des Moines,Iowa,PORT,BSF,0,"A CD-Rom including Social Security numbers, last name and state of residence was lost while in transit from an outside business partner.",Security Breach Letter,,2005,41.600545,-93.609106
8-30-2005,JP Morgan Chase & Co.,Dallas,Texas,PORT,BSF,0,"A laptop was stolen on August 8th.  It contained 
            personal and financial account information of customers.  Those affected were contacted.",Dataloss DB,,2005,32.802955,-96.769923
09/02/2005,Iowa Student Loan,West Des Moines,Iowa,PORT,BSF,"1,65,000","A compact disk containing 
            personal information, including SSNs, was lost when shipped by private 
            courier.",Dataloss DB,,2005,41.577212,-93.711332
9-13-2005,Fort Carson,Colorado Springs,Colorado,PORT,GOV,"9,300","Four computer hard drives were stolen from the Soldier Readiness Processing center during the weekend of August 20.  Personnel records with names, Social Security numbers, ages, ranks, jobs, citizenship information and unit affiliations of soldiers, civilian federal employees and contractors who had been processed through the center since January were on the hard drives.",Dataloss DB,,2005,38.833882,-104.821363
9-17-2005,North Fork Bank (now Capital One Bank),New York,New York,PORT,BSF,"9,000","A laptop containing mortgage data was stolen from a North Fork Bank office on the weekend of July 24 of 2005.  Personal information included names, addresses, and mortgage account numbers.  Affected customers were contacted and offered one year of free credit monitoring services from Equifax.",Dataloss DB,,2005,40.714269,-74.005973
9-19-2005,Children's Health Council,San Jose,California,PORT,NGO,"6,700","A tape containing sensitive information was stolen from a Children's Health Council office. The tape contained names, Social Security numbers, and detailed medical information for around 6,000 current and former clients.  Payroll information for 700 current and former employees was also on the tape.  The agency alerted those who may be at risk of identity theft.",Dataloss DB,,2005,37.339386,-121.894956
9-23-2005,Bank of America,Charlotte,North Carolina,PORT,BSF,0,"A laptop was stolen from a Bank of America service provider.  Information such as names, account numbers, routing transit numbers, and credit card numbers were compromised by the theft.  An unspecified number of Visa Buxx users were contacted by Bank of America.",Dataloss DB,,2005,35.227087,-80.843127
10-21-2005,Wilcox Memorial Hospital,Lihue,Hawaii,PORT,MED,"1,30,000","A backup computer data drive containing medical record numbers, addresses, names and Social Security numbers of current and former patients was lost.  Letters have been sent to affected patients.",Dataloss DB,,2005,21.981111,-159.371111
11/01/2005,University of Tennessee Medical Center,Knoxville,Tennessee,PORT,MED,"3,800","A laptop was stolen from the University's medical billing office.  Personal information lost included names, Social Security numbers and birth dates.  Affected patients were not informed of the theft for nearly two months.",Dataloss DB,,2005,35.960638,-83.920739
11/05/2005,"Safeway, Hawaii ",Pleasanton,California,PORT,BSR,"1,400",A division director's laptop was stolen.  Names and Social Security numbers of some Hawaii workers were compromised by the theft.  The theft occurred in August and letters were sent to affected employees in October.,Dataloss DB,,2005,37.662431,-121.874679
11/10/2005,State of California - Department of Corrections and Rehabilitations (CDCR) Parole Outpatient Clinic,Sacramento,California,PORT,MED,0,"On or around June 18, 2005 a laptop computer was stolen with information on parolees. It was unclear from the letter we recieved whether Social Security numbers were involved.  ",Security Breach Letter,,2005,38.581572,-121.4944
11-19-2005,Boeing,Chicago,Illinois,PORT,BSO,"1,61,000","A laptop containing names, Social Security numbers, bank account information and other human resources data was stolen.  Affected current and former employees were notified.",Dataloss DB,,2005,41.850033,-87.650052
12/01/2005,First Trust Bank,Memphis,Tennessee,PORT,BSF,"1,00,000",A man claiming to be a janitor bypassed security and stole a laptop from the bank.  The laptop contained Social Security numbers and other personal information of current and former customers.  Affected customers were contacted and the theft was caught on tape.,Dataloss DB,,2005,35.149534,-90.04898
12/06/2005,Washington State Employment Security Department,Olympia,Washington,PORT,GOV,530,"A laptop was stolen from the trunk of an auditor's car. Names, Social Security numbers 
            and earnings of former employees from 2002 to 2005 were exposed.  The Employment Security Department does not have all of the contact information for those affected and used the media to help notify those whose information was compromised.  The laptop contained unemployment insurance reports for 49 Seattle businesses that were undergoing routine audits by Employment Security between November 2004 and October 2005..",Dataloss DB,,2005,47.037874,-122.900695
12/08/2005,San Antonio Independent School District,San Antonio,Texas,PORT,EDU,"1,000","A laptop with personal information of more than a thousand teachers was stolen from an employee's unlocked car.  The information included names, Social Security numbers and dates of birth. ",Dataloss DB,,2005,29.424122,-98.493628
12-16-2005,"La Salle Bank, ABN AMRO Mortgage Group, DHL",Ann Arbor,Michigan,PORT,BSF,"20,00,000",A backup              tape with residential mortgage customers' information was lost in shipment by DHL.  It              contained Social Security numbers and account information. UPDATE              (12/20/05): DHL found the lost tape.,Security Breach Letter,,2005,42.270872,-83.726329
12-25-2005,Ameriprise Financial Inc.,Minneapolis,Minnesota,PORT,BSF,"2,26,000","A laptop was stolen from 
            an employee's car on Christmas eve. It contained customers' names and 
            Social Security numbers and in some cases, Ameriprise account information. Around 68,000 customers had their names and Social Security numbers exposed.  Around 158,000 customers had their names and internal account numbers exposed.
            UPDATE (08/01/06): The 
            laptop was recovered by local law enforcement in the community where 
            it was stolen.  UPDATE
            (12/11/06): The company settled with the Massachusetts securities 
            regulator in the office of the Secretary of State. Ameriprise agreed 
            to hire an independent consultant to review its policies and procedures 
            for employees' and contractors' use of laptops containing personal 
            information. Ameriprise will pay the state regulator $25,000 for the 
            cost of the investigation.",Dataloss DB,,2005,44.979965,-93.263836
12-28-2005,Marriott International Inc.,Orlando,Florida,PORT,BSR,"2,06,000",It is unclear whether backup computer tapes with credit card account information and Social Security numbers were lost or stolen from headquarters during November. Employees and time-share owners and customers were affected.,Dataloss DB,,2005,28.538336,-81.379237
01/12/2006,People's Bank,Bridgeport,Connecticut,PORT,BSF,"90,000","A computer tape containing 
            names, addresses, Social Security numbers, and checking account numbers was lost while being transported by UPS.  The bank alerted the affected customers and provided them with a credit monitoring service for one year.",Dataloss DB,,2006,41.167041,-73.204835
1-24-2006,University of Washington Medical Center,Seattle,Washington,PORT,MED,"1,600","Laptops containing 
            names, Social Security numbers, maiden names, birth dates, diagnoses 
            and other personal data were stolen from a UW office.  The information was password protected and the affected patients were notified.",Dataloss DB,,2006,47.60621,-122.332071
02/12/2005,Science Applications International Corp. (SAIC),San Diego,California,STAT,BSO,"45,000","On January 25 thieves broke 
            into a SAIC facility and stole computers containing personal information of past and current employees. Stolen information 
            included names, Social Security numbers, addresses, phone numbers and records of financial 
            transactions.",Dataloss DB,,2005,32.715329,-117.157255
03/12/2005,Las Vegas Department of Motor Vehicles (LV DMV),Las Vegas,Nevada,STAT,GOV,"8,900","A computer and holographic 
laminate materials were stolen from the Donovan office of the DMV in 
North Las Vegas. UPDATE. The equipment was 
recovered on June 1. ",Dataloss DB,,2005,36.114646,-115.172816
04/08/2005,San Jose Medical Group,San Jose,California,STAT,MED,"1,87,000","UPDATE(10/10/07): 
              A former branch manager at the San Jose Medical Group has been sentenced 
              to almost two years in prison for stealing medical records for about 
              187,000 patients. The accused pleaded guilty in May to one count 
              of health care-related theft after he stole computer equipment from 
              his former employer, including a DVD that contained patients' names, 
              Social Security numbers, medical diagnoses and other information.",Dataloss DB,,2005,37.339386,-121.894956
4-26-2005,Christus St. Joseph's Hospital,Houston,Texas,STAT,MED,"16,000","Two computers used for converting paper medical records into digital files were stolen.  One of the computers contained Social Security numbers and medical records for hundreds of patients.  Letters were sent to about 16,000 patients.",Dataloss DB,,2005,29.763284,-95.363272
5-30-2005,Motorola,Schaumburg,Illinois,STAT,BSO,0,Two computers were stolen from third party vendor Affiliated Computer Services (ACS).  They had security safeguards and contained names and Social Security numbers of Motorola employees.  Motorola notified affected staff by email and offered fraud insurance coverage.,Dataloss DB,,2005,42.033361,-88.083406
09/10/2005,Kent State University,Kent,Ohio,STAT,EDU,"1,00,000","Five desktop computers were stolen from the locked offices of two deans. Names, Social Security numbers, and grades were on the computers.  The information goes back to 2000 for students and 2002 for instructors.  Affected students and professors were alerted by the University.",Dataloss DB,,2005,41.153667,-81.357886
11/04/2005,"Keck School of Medicine, University of Southern California (USC)",Los Angeles,California,STAT,EDU,"50,000","A computer server containing names and Social Security numbers of patients, donors and employees was stolen from a campus computer room.",Security Breach Letter,,2005,34.052234,-118.243685
11/09/2005,TransUnion Credit Bureau,Chester,Pennsylvania,STAT,BSF,"3,623",A desktop containing Social Security numbers and other information was stolen from a regional sales office in California.  Affected consumers were notified and offered one year of free credit monitoring services.,Dataloss DB,,2005,39.849557,-75.355746
11/11/2005,Georgia Tech University Office of Enrollment Services,Atlanta,Georgia,STAT,EDU,"13,000","On October 16 of 2005 computers were stolen from campus which contained the names, Social Security numbers, addresses and birth dates of current and prospective students. Notifications were sent to those who were affected.",Dataloss DB,,2005,33.748995,-84.387982
12-22-2005,Ford Motor Co.,Dearborn,Michigan,STAT,BSO,"70,000","A computer containing names and 
            Social Security numbers of current and former employees was stolen.  Ford alerted those who were affected and offered to pay for their credit monitoring services.",Dataloss DB,,2005,42.32226,-83.176315
01/01/2006,"University of Pittsburgh Medical Center, Squirrel Hill Family Medicine",Pittsburgh,Pennsylvania,STAT,MED,700,"Six computers containing names, 
            Social Security numbers, and birth dates of patients were stolen from doctors' offices. A letter was sent notifying the affected patients.",Dataloss DB,,2006,40.440625,-79.995886
1-15-2006,Illinois Education Association,Springfield,Illinois,STAT,NGO,0,"Two laptops, six desktops and a digital camera were stolen from the Illinois Education Association office sometime prior to the week of January 3. Some of the computers contained Social Security numbers of members.  Many member organizations were affected.  Over 2,400 members from the Elgin Area School District were affected.",Dataloss DB,,2006,39.781721,-89.650148
1-25-2006,University of Delaware,Newark,Delaware,STAT,EDU,159,Two separate breaches occurred on the campus during November and December.  A computer from the School of Urban Affairs and Public policy was hacked and a back-up hard drive was stolen from the Department of Entomology and Wildlife Ecology.  The hacking incident occurred between November 22 and 26 and exposed the Social Security numbers of 159 graduate students.  The hard drive theft occurred between December 16 and 18 and the personal information of an unknown number of people was exposed.,Dataloss DB,,2006,39.683723,-75.749657
1-26-2006,College of St. Scholastica,Duluth,Minnesota,STAT,EDU,"12,000",A computer was stolen from a locked office in the College's information Technology Department on or around December 24.  The computer had Social Security numbers and names of current and former students. The thief was caught and claims that none of the personal information was used.,Dataloss DB,,2006,46.786672,-92.100485
02/02/2006,Presbyterian Healthcare Service,Albuquerque,New Mexico,STAT,MED,450,"The theft of a computer may have exposed patient and physician information. Names, Social Security numbers, addresses, phone numbers and credit card numbers were on the computer.  The computer may have been stolen for the purpose of committing identity theft.",Dataloss DB,,2006,35.084491,-106.651137
03/06/2006,First Horizon Home Loans,Lake Oswego,Oregon,STAT,BSF,8,"A desktop computer was stolen from one of First Horizon's financial centers.  The desktop contained customer and client files with names, addresses, phone numbers, Social Security numbers and mortgage account numbers.",Dataloss DB,,2006,45.420675,-122.67065
